page_id,page_name,page_category,total_ads,active_ads,distinct_collations,new_ads_30d,always_on_share,creative_refresh_rate,share_message,share_call,share_form,share_web,dominant_cta,page_like_count,platform_count,platforms,ad_texts_combined,domains,has_carousel,has_video,conversational_gate_pass,gate_reason,money_score,money_breakdown,money_ad_volume,money_always_on,money_velocity,money_scale
144221129149,UDallas Satish & Yasmin Gupta College of Business,,2,2,2,0,1.0,1.0,0.0,0.0,0.0,1.0,LEARN_MORE,3548,0,[],{{product.brand}} | {{product.brand}} | {{product.name}} | {{product.name}} | {{product.description}} | {{product.description}},"[""fb.me""]",True,False,True,RESCUED,25,ad_volume:3|always_on:15|velocity:0|scale:7,3,15,0,7
124687771598900,Caulfields Family Auto Sales,,10,10,1,10,0.0,0.1,0.0,0.0,1.0,0.0,APPLY_NOW,4828,0,[],"At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving families.☀️ With over 10 years in business we know what it takes to get you approved. And we know what it means to you to get you approved in the car you really want. 

👥 Why Choose Us?
▫️$0 Money Down Options 💵 
▫️Lenders For All Types of Credit 🏦 
▫️Inspected Road-Ready Inventory 🚙 
▫️Transparent pricing: No Hidden fees or surprises 💎
▫️Personalized Service that genuinely want to help
▫️Vehicle Finding to get you exactly what you’re looking for.

Whether you’re looking for a reliable SUV for your family, a sporty sedan, or a dependable pickup truck we’ve got you covered. 
$2000 is average down payment not the price of any vehicle 🚗 

📍 Visit us: {7191 Beth Bath Pike Bath PA 18014}
📞 Call us at: {610-837-5980}
🌐 Inventory: {Caulfieldsfamilyautosales.Com} | At Caulfields Family Auto we pride ourselves on serving ","[""caulfieldsautodeals.com""]",True,False,True,FORM,20,ad_volume:7|always_on:0|velocity:6|scale:7,7,0,6,7
112251220174933,"Eric Aragon, CPA",,5,5,0,5,0.0,0.0,0.0,0.0,0.0,1.0,LEARN_MORE,1036,0,[],"One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | One competitor made $8M and paid $200K in taxes. Another $8M business paid $900K. Same revenue. Different structure.

Free training this Thursday at 7pm EST, learn the system that's helped clients implement coordinated tax planning strategies.

For business owners only (not W-2 employees) with complex tax obligations.

Register now. | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | How Strategic Planning Can Significantly Reduce Tax Exposure | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System | Free Webinar: Learn the Big 4 System","[""go.aragonadvisors.com""]",False,False,True,RESCUED,16,ad_volume:5|always_on:0|velocity:5|scale:6,5,0,5,6
535301179946142,Astro Exterminating,,4,4,4,4,0.0,1.0,0.0,0.0,1.0,0.0,GET_QUOTE,4831,0,[],{{product.brand}} | {{product.brand}} | {{product.brand}} | {{product.brand}} | {{product.name}} | {{product.name}} | {{product.name}} | {{product.name}} | {{product.description}} | {{product.description}} | {{product.description}} | {{product.description}},"[""astroexterminating.com""]",True,False,True,FORM,16,ad_volume:5|always_on:0|velocity:4|scale:7,5,0,4,7
102942631652183,America Business College- Escuela CDL,,4,4,4,4,0.0,1.0,1.0,0.0,0.0,0.0,MESSAGE_PAGE,3402,0,[],"Año Nuevo, metas nuevas! Sueñas con ganar más dinero? Obtén tu licencia CDL Clase A 🪪 
Inscríbete hoy y empieza a cumplir tus sueños! 🚛💨 
❄️Ultimos lugares disponibles! $2,550❄️
📲 (773) 991-8459
#CDLClaseA #AñoNuevoMetasNuevas #escuelacdl #cdltrainingschool #cdldriver #cdl | Escuela CDL en Chicago, IL
Estas listo para obtener tu Licencia CDL? 
No te pierdas esta gran Promoción 🥳🚛
(773) 991-8459 
🚨Recuerda que puedes reservar tu lugar con $100 | Obtén tu Licencia CDL A en poco tiempo! 
Nosotros te preparamos desde cero 🚛
Envíanos mensaje o llámanos al:  (773) 991-8459

#cdltraining #CDLLife #cdldriver #AñoNuevoMetasNuevas #cdlclassa #trailerosdelmundo | CDL TRUCK DRIVING SCHOOL- Chicago, IL
Comienza tu carrera como Trailero 🚛
Contáctame para mas información: (773) 991-8459",[],False,True,True,MESSAGE,16,ad_volume:5|always_on:0|velocity:4|scale:7,5,0,4,7
239047537408684,"Brittany Conner, Realtor",,4,4,1,4,0.0,0.25,0.0,0.0,0.0,1.0,,1188,0,[],"Behind the scenes with @ftlodcookies while filming for The American Dream TV: Selling Columbus @theamericandreamtv 🔥🎥 I had such a blast filming this episode and learning more about their incredible business 🙌🏻 If you are looking for a yummy sweet treat you HAVE to check them out 😋🍪🧁🍦 

You can stream the show on Prime Video, YouTube TV, Tubi, FireTV, AppleTV, Roku, CNBC, Bloomberg Television, HGTV or on The American Dream TV Website 🎥If you are a business or home owner that would like the opportunity to be featured on the show - reach out to me and let’s chat! 📲 If you are looking to buy, sell or invest in real estate I would love to help! I can help with commercial, new builds and relocation as well. 🏡📲 | Behind the scenes with @ftlodcookies while filming for The American Dream TV: Selling Columbus @theamericandreamtv 🔥🎥 I had such a blast filming this episode and learning more about their incredible business 🙌🏻 If you are looking for a yummy sweet treat you HAVE to check them out 😋🍪🧁🍦 

You can stream the show on Prime Video, YouTube TV, Tubi, FireTV, AppleTV, Roku, CNBC, Bloomberg Television, HGTV or on The American Dream TV Website 🎥If you are a business or home owner that would like the opportunity to be featured on the show - reach out to me and let’s chat! 📲 If you are looking to buy, sell or invest in real estate I would love to help! I can help with commercial, new builds and relocation as well. 🏡📲 | Behind the scenes with @ftlodcookies while filming for The American Dream TV: Selling Columbus @theamericandreamtv 🔥🎥 I had such a blast filming this episode and learning more about their incredible business 🙌🏻 If you are looking for a yummy sweet treat you HAVE to check them out 😋🍪🧁🍦 

You can stream the show on Prime Video, YouTube TV, Tubi, FireTV, AppleTV, Roku, CNBC, Bloomberg Television, HGTV or on The American Dream TV Website 🎥If you are a business or home owner that would like the opportunity to be featured on the show - reach out to me and let’s chat! 📲 If you are looking to buy, sell or invest in real estate I would love to help! I can help with commercial, new builds and relocation as well. 🏡📲 | Behind the scenes with @ftlodcookies while filming for The American Dream TV: Selling Columbus @theamericandreamtv 🔥🎥 I had such a blast filming this episode and learning more about their incredible business 🙌🏻 If you are looking for a yummy sweet treat you HAVE to check them out 😋🍪🧁🍦 

You can stream the show on Prime Video, YouTube TV, Tubi, FireTV, AppleTV, Roku, CNBC, Bloomberg Television, HGTV or on The American Dream TV Website 🎥If you are a business or home owner that would like the opportunity to be featured on the show - reach out to me and let’s chat! 📲 If you are looking to buy, sell or invest in real estate I would love to help! I can help with commercial, new builds and relocation as well. 🏡📲",[],False,True,True,RESCUED,15,ad_volume:5|always_on:0|velocity:4|scale:6,5,0,4,6
363401266866908,Breezy - HVAC Business App,,6,6,0,6,0.0,0.0,0.0,0.0,1.0,0.0,SIGN_UP,230,0,[],"If you’re working harder every year but your HVAC business isn’t getting easier or more profitable, something in the system is broken.

Most HVAC owners don’t struggle because they lack effort.

They struggle because profit was never designed into the business.

Jobs get sold, trucks stay busy, and revenue climbs, yet margins fluctuate, cash flow feels tight, and the owner carries all the weight. 

Pricing feels reactive. 

Hiring never feels caught up. 

And decisions get made without a clear financial framework guiding them.

This free live masterclass breaks down how top contractors intentionally build a 20% profit HVAC business by aligning sales, pricing, operations, and leadership into a single, disciplined system.

You’ll learn how profitable companies stop reacting and start controlling outcomes.

You’ll hear directly from Gary Elekes and Weldon Long, co-founders of The Contracting Edge, a new best-practice organization built to help contractors sharpen operations, accelerate profitability, and build businesses designed for long-term wealth.

Gary brings over four decades of experience designing operational and financial systems, while Weldon is a New York Times bestselling author who built and sold an HVAC company for an eight-figure valuation.

Show up live for a chance to win a free ticket to their exclusive February 11 Las Vegas training event, featuring industry icon Ken Goodrich, Chairman of Goettl, serial acquirer, and one of the most respected leaders in the trades.

This giveaway is only available to live attendees.

👉 Register free now and plan to attend live. | {{product.brand}} | If you’re working harder every year but your HVAC business isn’t getting easier or more profitable, something in the system is broken.

Most HVAC owners don’t struggle because they lack effort.

They struggle because profit was never designed into the business.

Jobs get sold, trucks stay busy, and revenue climbs, yet margins fluctuate, cash flow feels tight, and the owner carries all the weight. 

Pricing feels reactive. 

Hiring never feels caught up. 

And decisions get made without a clear financial framework guiding them.

This free live masterclass breaks down how top contractors intentionally build a 20% profit HVAC business by aligning sales, pricing, operations, and leadership into a single, disciplined system.

You’ll learn how profitable companies stop reacting and start controlling outcomes.

You’ll hear directly from Gary Elekes and Weldon Long, co-founders of The Contracting Edge, a new best-practice organization built to help contractors sharpen operations, accelerate profitability, and build businesses designed for long-term wealth.

Gary brings over four decades of experience designing operational and financial systems, while Weldon is a New York Times bestselling author who built and sold an HVAC company for an eight-figure valuation.

Show up live for a chance to win a free ticket to their exclusive February 11 Las Vegas training event, featuring industry icon Ken Goodrich, Chairman of Goettl, serial acquirer, and one of the most respected leaders in the trades.

This giveaway is only available to live attendees.

👉 Register free now and plan to attend live. | {{product.brand}} | {{product.brand}} | If you’re working harder every year but your HVAC business isn’t getting easier or more profitable, something in the system is broken.

Most HVAC owners don’t struggle because they lack effort.

They struggle because profit was never designed into the business.

Jobs get sold, trucks stay busy, and revenue climbs, yet margins fluctuate, cash flow feels tight, and the owner carries all the weight. 

Pricing feels reactive. 

Hiring never feels caught up. 

And decisions get made without a clear financial framework guiding them.

This free live masterclass breaks down how top contractors intentionally build a 20% profit HVAC business by aligning sales, pricing, operations, and leadership into a single, disciplined system.

You’ll learn how profitable companies stop reacting and start controlling outcomes.

You’ll hear directly from Gary Elekes and Weldon Long, co-founders of The Contracting Edge, a new best-practice organization built to help contractors sharpen operations, accelerate profitability, and build businesses designed for long-term wealth.

Gary brings over four decades of experience designing operational and financial systems, while Weldon is a New York Times bestselling author who built and sold an HVAC company for an eight-figure valuation.

Show up live for a chance to win a free ticket to their exclusive February 11 Las Vegas training event, featuring industry icon Ken Goodrich, Chairman of Goettl, serial acquirer, and one of the most respected leaders in the trades.

This giveaway is only available to live attendees.

👉 Register free now and plan to attend live. | How Top HVAC Owners Build 20% Profit Businesses | {{product.name}} | How Top HVAC Owners Build 20% Profit Businesses | {{p","[""fb.me""]",True,True,True,FORM,15,ad_volume:6|always_on:0|velocity:5|scale:4,6,0,5,4
1162919413853938,Godette Bade,,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,MESSAGE_PAGE,234718,0,[],What if nasa kamay mo na ang sagot all this time? Hindi mo lang napapansin. Curious ka din ba? Send me a message. | Turuan mo ako📲 | What if nasa kamay mo na ang sagot all this time? Hindi mo lang napapansin. Curious ka din ba? Send me a message.,[],False,True,True,MESSAGE,14,ad_volume:2|always_on:0|velocity:2|scale:10,2,0,2,10
309811488886068,East Coast Excavators,,3,3,2,3,0.0,0.6667,1.0,0.0,0.0,0.0,MESSAGE_PAGE,1643,0,[],"Brand New Mini Excavators | FREE DELIVERY TO MA, CT, and RI!
📲 Call/text | 203-927-4043
eastcoastexcavators.com
📍Located in Branford CT | {{product.brand}} | {{product.brand}} | Free Delivery across CT, RI, and MA | {{product.name}} | {{product.name}} | {{product.description}} | {{product.description}}",[],True,True,True,MESSAGE,14,ad_volume:4|always_on:0|velocity:4|scale:6,4,0,4,6
202065099830972,Dr. Joe Vitale,,1,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,LEARN_MORE,510369,0,[],"Today is your lucky day. I have three packages for you. For only $3. 😲 And if you've been struggling with the law of attraction, if you've been trying to understand how all of this mumbo jumbo and this esoteric voodoo actually works, you've come to the right place.

I have spent four decades, learning how to create your own reality from the inside out.

I'm Dr. Joe Vitale. I was in the movie The Secret. I have my own movie coming out called Zero Limits. 

I've written 90 some books including the Attractor Factor and Zero Limits and Zero Limits Living, and a whole lot more. I have hundreds of products. I have a coaching program. I have been in this business for a very long time.

I've also struggled.

I was homeless, I was in poverty. I know what it's like to starve. I know what it's like to be despondent. I know what it's like to even be suicidal. 

I transcended all of that, and what I'm doing now, now that I'm in my seventies, is turning around to help people, anybody that'll listen, and I want to help you.

Now, I've given away a lot of material. But most of the time people don't value what is given to them for nothing. It sits on the shelf or they just kinda look at it without any real investment of energy or attention. 

I've also sold a lot of packages that cost hundreds to thousands of dollars, and that kind of eliminated a lot of people who needed the material.

So it's the middle. The middle ground is what I'm offering you today.

I have three full length packages that I'm going to offer to you today and today only for $3.

And let me tell you what these three packages are. 

The first is the three day rule. What I discovered is that you will tend to manifest in your life what you're thinking about in three days.

Now, obviously that doesn't always happen, so why not?

It's because you keep changing your mind. You need to understand how the mind works. 

Then you can operate it to actually get what you want in about three days or even less. I have a whole p | Get 3️⃣ of my best for only $3 👈🤯","[""begin.mcbydrjoevitale.com""]",False,True,True,RESCUED,14,ad_volume:2|always_on:0|velocity:2|scale:10,2,0,2,10
